index,stock_id,year,file_path,mda_sentence,audit_sentence,mda_score,audit_score
600228/2018,600228,2018,clean1\上证A股ST公司\600228\ST昌九2018年年度报告（修订版）.pdf.txt_total.md,53,47,0.363384374,-0.098537759
600228/2017,600228,2017,clean1\上证A股ST公司\600228\_ST昌九2017年年度报告.pdf.txt_total.md,36,56,0.163884865,-0.110349916
600228/2015,600228,2015,clean1\上证A股ST公司\600228\昌九生化2015年报.pdf.txt_total.md,31,14,-0.023540917,-0.202775955
600228/2016,600228,2016,clean1\上证A股ST公司\600228\昌九生化2016年年度报告.pdf.txt_total.md,14,14,-0.373949367,-0.202788261
600228/2012,600228,2012,clean1\上证A股ST公司\600228\江西昌九生物化工股份有限公司2012年年度报告.pdf.txt_total.md,24,14,0.034174343,-0.202390776
600228/2013,600228,2013,clean1\上证A股ST公司\600228\江西昌九生物化工股份有限公司2013年年度报告.pdf.txt_total.md,33,15,0.370223415,-0.240279471
600228/2014,600228,2014,clean1\上证A股ST公司\600228\江西昌九生物化工股份有限公司2014年报.pdf.txt_total.md,32,14,0.353337481,-0.202776134
600234/2017,600234,2017,clean1\上证A股ST公司\600234\ST山水2017年年度报告（修订版）.pdf.txt_total.md,9,54,-0.190779947,-0.158199874
600234/2018,600234,2018,clean1\上证A股ST公司\600234\ST山水2018年年度报告.pdf.txt_total.md,14,54,0.147393654,-0.110499114
600234/2016,600234,2016,clean1\上证A股ST公司\600234\_ST山水2016年年度报告.pdf.txt_total.md,23,15,0.132858897,-0.18939867
600234/2012,600234,2012,clean1\上证A股ST公司\600234\太原天龙集团股份有限公司2012年年度报告.pdf.txt_total.md,17,0,0.067185752,
600234/2015,600234,2015,clean1\上证A股ST公司\600234\山水文化2015年年度报告.pdf.txt_total.md,22,17,-0.151101157,-0.329388277
600234/2013,600234,2013,clean1\上证A股ST公司\600234\山西广和山水文化传播股份有限公司2013年年度报告.pdf.txt_total.md,74,0,-0.02949176,
600238/2017,600238,2017,clean1\上证A股ST公司\600238\_ST椰岛2017年年度报告（更新后）.pdf.txt_total.md,81,43,0.35401374,-0.130262824
600238/2018,600238,2018,clean1\上证A股ST公司\600238\_ST椰岛2018年年度报告.pdf.txt_total.md,90,38,0.36730753,-0.091412578
600238/2012,600238,2012,clean1\上证A股ST公司\600238\海南椰岛(集团)股份有限公司2012年年度报告.pdf.txt_total.md,47,11,0.409053815,-0.063588258
600238/2013,600238,2013,clean1\上证A股ST公司\600238\海南椰岛(集团)股份有限公司2013年年度报告.pdf.txt_total.md,90,38,0.36730753,-0.091412578
600238/2014,600238,2014,clean1\上证A股ST公司\600238\海南椰岛(集团)股份有限公司2014年报.pdf.txt_total.md,33,11,0.127960434,-0.06340303
600238/2015,600238,2015,clean1\上证A股ST公司\600238\海南椰岛2015年报.pdf.txt_total.md,48,11,0.205318726,-0.06340605
600238/2016,600238,2016,clean1\上证A股ST公司\600238\海南椰岛2016年年度报告.pdf.txt_total.md,61,11,0.311071047,-0.06340605
600247/2016,600247,2016,clean1\上证A股ST公司\600247\ST成城2016年年度报告（修订版）.pdf.txt_total.md,21,21,-0.198919598,-0.358392799
600247/2018,600247,2018,clean1\上证A股ST公司\600247\ST成城2018年年度报告（修订版）.pdf.txt_total.md,11,72,-0.015380306,-0.263512867
600247/2015,600247,2015,clean1\上证A股ST公司\600247\_ST成城2015年年度报告.pdf.txt_total.md,25,19,-0.043902192,-0.318305812
600247/2012,600247,2012,clean1\上证A股ST公司\600247\吉林成城集团股份有限公司2012年年度报告(修订版).pdf.txt_total.md,29,11,-0.095192741,-0.063592112
600247/2014,600247,2014,clean1\上证A股ST公司\600247\吉林成城集团股份有限公司2014年报.pdf.txt_total.md,25,7,-0.445266621,-0.640425388
600265/2015,600265,2015,clean1\上证A股ST公司\600265\ST景谷2015年年度报告.pdf.txt_total.md,66,14,0.124559868,-0.200422556
600265/2017,600265,2017,clean1\上证A股ST公司\600265\ST景谷2017年年度报告.pdf.txt_total.md,109,44,0.222916063,-0.122439363
600265/2018,600265,2018,clean1\上证A股ST公司\600265\ST景谷2018年年度报告.pdf.txt_total.md,99,44,0.227410188,-0.104418916
600265/2016,600265,2016,clean1\上证A股ST公司\600265\_ST景谷2016年年度报告.pdf.txt_total.md,91,11,0.098909474,-0.063559419
600265/2012,600265,2012,clean1\上证A股ST公司\600265\云南景谷林业股份有限公司2012年年度报告.pdf.txt_total.md,29,16,-0.326580847,-0.226605403
600265/2013,600265,2013,clean1\上证A股ST公司\600265\云南景谷林业股份有限公司2013年年度报告.pdf.txt_total.md,26,15,0.134131688,-0.187994569
600265/2014,600265,2014,clean1\上证A股ST公司\600265\云南景谷林业股份有限公司2014年报.pdf.txt_total.md,47,14,0.073787486,-0.198491317
600275/2017,600275,2017,clean1\上证A股ST公司\600275\ST昌鱼2017年年度报告（修订版）.pdf.txt_total.md,12,34,-0.100600492,-0.025015719
600275/2018,600275,2018,clean1\上证A股ST公司\600275\ST昌鱼2018年年度报告.pdf.txt_total.md,35,30,0.401900763,-0.043230703
600275/2015,600275,2015,clean1\上证A股ST公司\600275\武昌鱼2015年报.pdf.txt_total.md,11,13,-0.072246652,-0.141494754
600275/2016,600275,2016,clean1\上证A股ST公司\600275\武昌鱼2016年年度报告.pdf.txt_total.md,12,13,-0.047334919,-0.141494754
600275/2012,600275,2012,clean1\上证A股ST公司\600275\湖北武昌鱼股份有限公司2012年年度报告.pdf.txt_total.md,25,13,0.070946272,-0.141571386
600275/2013,600275,2013,clean1\上证A股ST公司\600275\湖北武昌鱼股份有限公司2013年年度报告.pdf.txt_total.md,20,13,0.039316286,-0.141571386
600275/2014,600275,2014,clean1\上证A股ST公司\600275\湖北武昌鱼股份有限公司2014年报.pdf.txt_total.md,15,13,0.041656987,-0.141576434
600289/2017,600289,2017,clean1\上证A股ST公司\600289\_ST信通2017年年度报告（修订稿）.pdf.txt_total.md,66,26,0.193319818,-0.484386758
600289/2018,600289,2018,clean1\上证A股ST公司\600289\_ST信通2018年年度报告.pdf.txt_total.md,59,54,0.286894528,-0.161608484
600289/2015,600289,2015,clean1\上证A股ST公司\600289\亿阳信通2015年报.pdf.txt_total.md,50,11,0.484110485,-0.063427841
600289/2016,600289,2016,clean1\上证A股ST公司\600289\亿阳信通2016年年度报告.pdf.txt_total.md,58,11,0.523288333,-0.063427841
600289/2012,600289,2012,clean1\上证A股ST公司\600289\亿阳信通股份有限公司2012年年度报告(修订版).pdf.txt_total.md,152,11,0.458244063,-0.063613069
600289/2013,600289,2013,clean1\上证A股ST公司\600289\亿阳信通股份有限公司2013年年度报告.pdf.txt_total.md,141,11,0.456069781,-0.063994947
600289/2014,600289,2014,clean1\上证A股ST公司\600289\亿阳信通股份有限公司2014年报（修订版）.pdf.txt_total.md,148,11,0.503938147,-0.063427841
600301/2017,600301,2017,clean1\上证A股ST公司\600301\ST南化2017年年度报告.pdf.txt_total.md,17,53,0.05852627,-0.169336821
600301/2018,600301,2018,clean1\上证A股ST公司\600301\ST南化2018年年度报告（修订版）.pdf.txt_total.md,8,49,0.329589572,-0.064526475
600301/2015,600301,2015,clean1\上证A股ST公司\600301\_ST南化2015年报.pdf.txt_total.md,12,20,-0.237790048,-0.271722132
600301/2016,600301,2016,clean1\上证A股ST公司\600301\_ST南化2016年年度报告.pdf.txt_total.md,18,17,-0.029318371,-0.28628919
